Date,Close
03.03.2015 16:00:00,"67,82"
04.03.2015 16:00:00,"67,11"
05.03.2015 16:00:00,"66,81"
06.03.2015 16:00:00,"64,87"
09.03.2015 16:00:00,"63,66"
10.03.2015 16:00:00,"62,15"
11.03.2015 16:00:00,"62,88"
12.03.2015 16:00:00,"64,05"
13.03.2015 16:00:00,"62,63"
16.03.2015 16:00:00,"60,28"
17.03.2015 16:00:00,"59,79"
18.03.2015 16:00:00,"60,45"
19.03.2015 16:00:00,"60,74"
20.03.2015 16:00:00,"61,19"
23.03.2015 16:00:00,"60,71"
24.03.2015 16:00:00,"62,61"
25.03.2015 16:00:00,"60,25"
26.03.2015 16:00:00,"59,75"
27.03.2015 16:00:00,"59,25"
30.03.2015 16:00:00,"60,37"
31.03.2015 16:00:00,"59,53"
01.04.2015 16:00:00,"59,02"
02.04.2015 16:00:00,"59,15"
06.04.2015 16:00:00,"60,33"
07.04.2015 16:00:00,"60,49"
08.04.2015 16:00:00,"63,05"
09.04.2015 16:00:00,"62,79"
10.04.2015 16:00:00,"64,94"
13.04.2015 16:00:00,"67,81"
14.04.2015 16:00:00,"68,39"
15.04.2015 16:00:00,"67,92"
16.04.2015 16:00:00,"80,29"
17.04.2015 16:00:00,"81,65"
20.04.2015 16:00:00,"81,06"
21.04.2015 16:00:00,"80,06"
22.04.2015 16:00:00,"79,67"
23.04.2015 16:00:00,"79,87"
24.04.2015 16:00:00,"79,77"
27.04.2015 16:00:00,"80,87"
28.04.2015 16:00:00,"80,44"
29.04.2015 16:00:00,"80,41"
30.04.2015 16:00:00,"79,5"
01.05.2015 16:00:00,"79,58"
04.05.2015 16:00:00,"79,27"
05.05.2015 16:00:00,"80,79"
06.05.2015 16:00:00,"80,08"
07.05.2015 16:00:00,"80,75"
08.05.2015 16:00:00,"82,09"
11.05.2015 16:00:00,"84,28"
12.05.2015 16:00:00,"83,38"
13.05.2015 16:00:00,"82,87"
14.05.2015 16:00:00,"83,84"
15.05.2015 16:00:00,"87,61"
18.05.2015 16:00:00,"88,27"
19.05.2015 16:00:00,"88,07"
20.05.2015 16:00:00,"88,79"
21.05.2015 16:00:00,89
22.05.2015 16:00:00,"88,84"
26.05.2015 16:00:00,"87,99"
27.05.2015 16:00:00,"89,86"
28.05.2015 16:00:00,"89,51"
29.05.2015 16:00:00,"89,15"
01.06.2015 16:00:00,89
02.06.2015 16:00:00,"89,13"
03.06.2015 16:00:00,"88,81"
04.06.2015 16:00:00,"89,35"
05.06.2015 16:00:00,"90,46"
08.06.2015 16:00:00,"89,6"
09.06.2015 16:00:00,"92,45"
10.06.2015 16:00:00,"95,87"
11.06.2015 16:00:00,"95,09"
12.06.2015 16:00:00,"94,42"
15.06.2015 16:00:00,"93,43"
16.06.2015 16:00:00,"95,27"
17.06.2015 16:00:00,"94,27"
18.06.2015 16:00:00,"94,74"
19.06.2015 16:00:00,"93,87"
22.06.2015 16:00:00,"96,41"
23.06.2015 16:00:00,"97,31"
24.06.2015 16:00:00,"96,94"
25.06.2015 16:00:00,"94,89"
26.06.2015 16:00:00,"93,09"
29.06.2015 16:00:00,"92,23"
30.06.2015 16:00:00,"93,85"
01.07.2015 16:00:00,"93,64"
02.07.2015 16:00:00,"94,04"
06.07.2015 16:00:00,"94,57"
07.07.2015 16:00:00,"94,09"
08.07.2015 16:00:00,"93,51"
09.07.2015 16:00:00,"95,73"
10.07.2015 16:00:00,"97,23"
13.07.2015 16:00:00,"101,09"
